table_schema,table_name,table_type
auth,audit_log_entries,BASE TABLE
auth,flow_state,BASE TABLE
auth,identities,BASE TABLE
auth,instances,BASE TABLE
auth,mfa_amr_claims,BASE TABLE
auth,mfa_challenges,BASE TABLE
auth,mfa_factors,BASE TABLE
auth,oauth_authorizations,BASE TABLE
auth,oauth_client_states,BASE TABLE
auth,oauth_clients,BASE TABLE
auth,oauth_consents,BASE TABLE
auth,one_time_tokens,BASE TABLE
auth,refresh_tokens,BASE TABLE
auth,saml_providers,BASE TABLE
auth,saml_relay_states,BASE TABLE
auth,schema_migrations,BASE TABLE
auth,sessions,BASE TABLE
auth,sso_domains,BASE TABLE
auth,sso_providers,BASE TABLE
auth,users,BASE TABLE
extensions,pg_stat_statements,VIEW
extensions,pg_stat_statements_info,VIEW
public,abonnements,BASE TABLE
public,abonnements_stats,VIEW
public,admin_agences_en_attente,VIEW
public,admin_dashboard,VIEW
public,admin_stats_entreprises,VIEW
public,admin_stats_evolution,VIEW
public,admin_stats_immeubles,VIEW
public,admin_stats_locataires,VIEW
public,admin_stats_logements,VIEW
public,admin_stats_regies,VIEW
public,admin_stats_tickets,VIEW
public,admin_stats_tickets_categories,VIEW
public,admin_stats_tickets_priorites,VIEW
public,entreprises,BASE TABLE
public,factures,BASE TABLE
public,factures_commissions_jtec,VIEW
public,factures_stats,VIEW
public,immeubles,BASE TABLE
public,locataires,BASE TABLE
public,logements,BASE TABLE
public,messages,BASE TABLE
public,migration_logs,BASE TABLE
public,missions,BASE TABLE
public,notifications,BASE TABLE
public,plans,BASE TABLE
public,profiles,BASE TABLE
public,profiles_backup_20241220,BASE TABLE
public,quotas_usage,VIEW
public,regies,BASE TABLE
public,regies_backup_20241220,BASE TABLE
public,regies_entreprises,BASE TABLE
public,techniciens,BASE TABLE
public,tickets,BASE TABLE
public,tickets_complets,VIEW
public,tickets_disponibilites,BASE TABLE
public,tickets_visibles_entreprise,VIEW
realtime,messages,BASE TABLE
realtime,schema_migrations,BASE TABLE
realtime,subscription,BASE TABLE
storage,buckets,BASE TABLE
storage,buckets_analytics,BASE TABLE
storage,buckets_vectors,BASE TABLE
storage,migrations,BASE TABLE
storage,objects,BASE TABLE
storage,prefixes,BASE TABLE
storage,s3_multipart_uploads,BASE TABLE
storage,s3_multipart_uploads_parts,BASE TABLE
storage,vector_indexes,BASE TABLE
vault,decrypted_secrets,VIEW
vault,secrets,BASE TABLE
