table_schema,table_name,column_name,foreign_schema,foreign_table,foreign_column
public,abonnements,plan_id,public,plans,id
public,abonnements,entreprise_id,public,entreprises,id
public,abonnements,regie_id,public,regies,id
public,entreprises,profile_id,public,profiles,id
public,factures,entreprise_id,public,entreprises,id
public,factures,regie_id,public,regies,id
public,factures,mission_id,public,missions,id
public,immeubles,regie_id,public,regies,id
public,locataires,regie_id,public,regies,id
public,locataires,logement_id,public,logements,id
public,locataires,profile_id,public,profiles,id
public,logements,regie_id,public,regies,id
public,logements,immeuble_id,public,immeubles,id
public,messages,mission_id,public,missions,id
public,missions,ticket_id,public,tickets,id
public,missions,entreprise_id,public,entreprises,id
public,missions,technicien_id,public,techniciens,id
public,notifications,related_ticket_id,public,tickets,id
public,notifications,related_message_id,public,messages,id
public,notifications,related_facture_id,public,factures,id
public,notifications,related_mission_id,public,missions,id
public,profiles,regie_id,public,regies,id
public,regies,admin_validateur_id,public,profiles,id
public,regies,profile_id,public,profiles,id
public,regies_entreprises,entreprise_id,public,entreprises,id
public,regies_entreprises,regie_id,public,regies,id
public,techniciens,entreprise_id,public,entreprises,id
public,tickets,logement_id,public,logements,id
public,tickets,technicien_id,public,techniciens,id
public,tickets,entreprise_id,public,entreprises,id
public,tickets,locataire_id,public,locataires,id
public,tickets_disponibilites,ticket_id,public,tickets,id
