schemaname,tablename,tableowner
auth,audit_log_entries,supabase_auth_admin
auth,flow_state,supabase_auth_admin
auth,identities,supabase_auth_admin
auth,instances,supabase_auth_admin
auth,mfa_amr_claims,supabase_auth_admin
auth,mfa_challenges,supabase_auth_admin
auth,mfa_factors,supabase_auth_admin
auth,oauth_authorizations,supabase_auth_admin
auth,oauth_client_states,supabase_auth_admin
auth,oauth_clients,supabase_auth_admin
auth,oauth_consents,supabase_auth_admin
auth,one_time_tokens,supabase_auth_admin
auth,refresh_tokens,supabase_auth_admin
auth,saml_providers,supabase_auth_admin
auth,saml_relay_states,supabase_auth_admin
auth,schema_migrations,supabase_auth_admin
auth,sessions,supabase_auth_admin
auth,sso_domains,supabase_auth_admin
auth,sso_providers,supabase_auth_admin
auth,users,supabase_auth_admin
public,abonnements,postgres
public,entreprises,postgres
public,factures,postgres
public,immeubles,postgres
public,locataires,postgres
public,logements,postgres
public,messages,postgres
public,migration_logs,postgres
public,missions,postgres
public,notifications,postgres
public,plans,postgres
public,profiles,postgres
public,profiles_backup_20241220,postgres
public,regies,postgres
public,regies_backup_20241220,postgres
public,regies_entreprises,postgres
public,techniciens,postgres
public,tickets,postgres
public,tickets_disponibilites,postgres
realtime,messages,supabase_realtime_admin
realtime,schema_migrations,supabase_admin
realtime,subscription,supabase_admin
storage,buckets,supabase_storage_admin
storage,buckets_analytics,supabase_storage_admin
storage,buckets_vectors,supabase_storage_admin
storage,migrations,supabase_storage_admin
storage,objects,supabase_storage_admin
storage,prefixes,supabase_storage_admin
storage,s3_multipart_uploads,supabase_storage_admin
storage,s3_multipart_uploads_parts,supabase_storage_admin
storage,vector_indexes,supabase_storage_admin
vault,secrets,supabase_admin
