schema_name,table_name,rls_enabled,rls_forced
auth,audit_log_entries,true,false
auth,flow_state,true,false
auth,identities,true,false
auth,instances,true,false
auth,mfa_amr_claims,true,false
auth,mfa_challenges,true,false
auth,mfa_factors,true,false
auth,oauth_authorizations,false,false
auth,oauth_client_states,false,false
auth,oauth_clients,false,false
auth,oauth_consents,false,false
auth,one_time_tokens,true,false
auth,refresh_tokens,true,false
auth,saml_providers,true,false
auth,saml_relay_states,true,false
auth,schema_migrations,true,false
auth,sessions,true,false
auth,sso_domains,true,false
auth,sso_providers,true,false
auth,users,true,false
public,abonnements,true,false
public,entreprises,true,false
public,factures,true,false
public,immeubles,true,false
public,locataires,true,false
public,logements,true,false
public,messages,true,false
public,migration_logs,false,false
public,missions,true,false
public,notifications,true,false
public,plans,true,false
public,profiles,true,false
public,profiles_backup_20241220,false,false
public,regies,true,false
public,regies_backup_20241220,false,false
public,regies_entreprises,true,false
public,techniciens,true,false
public,tickets,true,false
public,tickets_disponibilites,true,false
realtime,schema_migrations,false,false
realtime,subscription,false,false
storage,buckets,true,false
storage,buckets_analytics,true,false
storage,buckets_vectors,true,false
storage,migrations,true,false
storage,objects,true,false
storage,prefixes,true,false
storage,s3_multipart_uploads,true,false
storage,s3_multipart_uploads_parts,true,false
storage,vector_indexes,true,false
vault,secrets,false,false
