enum_name,enum_value
aal_level,aal1
aal_level,aal2
aal_level,aal3
action,INSERT
action,UPDATE
action,DELETE
action,TRUNCATE
action,ERROR
buckettype,STANDARD
buckettype,ANALYTICS
buckettype,VECTOR
code_challenge_method,s256
code_challenge_method,plain
equality_op,eq
equality_op,neq
equality_op,lt
equality_op,lte
equality_op,gt
equality_op,gte
equality_op,in
factor_status,unverified
factor_status,verified
factor_type,totp
factor_type,webauthn
factor_type,phone
mission_status,en_attente
mission_status,en_cours
mission_status,terminee
mission_status,validee
mission_status,annulee
oauth_authorization_status,pending
oauth_authorization_status,approved
oauth_authorization_status,denied
oauth_authorization_status,expired
oauth_client_type,public
oauth_client_type,confidential
oauth_registration_type,dynamic
oauth_registration_type,manual
oauth_response_type,code
one_time_token_type,confirmation_token
one_time_token_type,reauthentication_token
one_time_token_type,recovery_token
one_time_token_type,email_change_token_new
one_time_token_type,email_change_token_current
one_time_token_type,phone_change_token
plan_type,essentiel
plan_type,pro
plan_type,premium
ticket_status,nouveau
ticket_status,ouvert
ticket_status,en_attente
ticket_status,en_cours
ticket_status,termine
ticket_status,clos
ticket_status,annule
user_role,locataire
user_role,regie
user_role,entreprise
user_role,technicien
user_role,proprietaire
user_role,admin_jtec
